"Season","Team","Basic","1B","2B","3B","HR","SO","BB","GB","FB","LD","IFFB","FIP"
"2011","Angels","96","100","95","88","95","100","97","99","100","99","97","98"
"2011","Orioles","103","102","100","90","110","99","100","101","100","100","98","104"
"2011","Red Sox","104","101","113","102","97","99","98","101","100","104","102","98"
"2011","White Sox","104","98","98","87","112","102","107","97","102","98","102","105"
"2011","Indians","96","99","101","83","97","101","98","101","98","101","97","98"
"2011","Tigers","102","101","100","117","99","96","99","101","104","97","105","100"
"2011","Royals","102","103","102","121","94","97","100","103","101","100","94","99"
"2011","Twins","101","102","102","110","94","98","100","101","99","103","101","99"
"2011","Yankees","103","100","97","85","110","100","101","100","100","98","100","104"
"2011","Athletics","97","98","97","106","92","99","101","99","101","100","105","98"
"2011","Mariners","94","99","94","88","92","103","102","98","99","98","104","97"
"2011","Rays","95","98","96","110","96","101","99","98","101","98","112","98"
"2011","Rangers","106","102","103","106","107","98","102","100","101","103","97","103"
"2011","Blue Jays","102","97","105","104","107","102","99","99","101","100","98","102"
"2011","Diamondbacks","104","100","106","121","103","99","98","100","99","99","98","101"
"2011","Braves","99","100","99","98","97","102","100","99","99","103","96","98"
"2011","Cubs","104","102","101","102","102","100","102","100","101","100","100","101"
"2011","Reds","101","99","98","98","112","102","100","99","100","99","102","103"
"2011","Rockies","115","107","109","125","113","96","101","105","99","108","94","107"
"2011","Marlins","101","100","102","102","97","106","105","99","99","99","104","98"
"2011","Astros","99","99","99","104","104","103","101","100","101","99","100","101"
"2011","Dodgers","95","100","97","78","99","100","97","100","100","98","107","99"
"2011","Brewers","101","98","101","102","110","102","102","98","103","100","100","103"
"2011","Nationals","100","102","101","95","99","97","96","101","101","101","100","100"
"2011","Mets","97","99","97","109","93","101","101","99","102","97","108","98"
"2011","Phillies","101","98","101","94","105","101","101","99","100","98","98","101"
"2011","Pirates","97","101","100","92","90","95","96","102","99","100","98","98"
"2011","Cardinals","97","100","97","90","92","99","100","100","99","101","100","97"
"2011","Padres","92","97","93","105","89","103","103","100","98","97","97","97"
"2011","Giants","94","99","99","102","89","99","99","101","96","100","97","96"
